ASN/DN #,Country,Vendor,Shipment Mode,Fulfill Via,Managed By,Product Group,Vendor INCO Term,Manufacturing Site,S1_quote_to_po,S2_po_to_plan,S3_plan_to_actual,S4_actual_to_recorded,E2E_quote_to_recorded,PQ First Sent to Client Date_dt,PO Sent to Vendor Date_dt,Scheduled Delivery Date_dt,Delivered to Client Date_dt,Delivery Recorded Date_dt,po_absent_structural,pq_pre_process,Line Item Value,Line Item Quantity,freight_usd,weight_kg,n_lines,freight_stated,weight_stated,year,late,early_over_14,abs_dev,channel
ASN-29216,Uganda,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE (Abbott) Logis. UK,12.0,144.0,0.0,2.0,158.0,2014-06-11,2014-06-23,2014-11-14,2014-11-14,2014-11-16,False,False,2465.6,80,2077.87,136.0,1,True,True,2014,0,0,0.0,Direct Drop (order-driven)
ASN-2923,Côte d'Ivoire,IDA FOUNDATION,Air,Direct Drop,PMO - US,ACT,EXW,Ipca Dadra/Nagar Haveli IN,,142.0,0.0,0.0,,,2008-09-03,2009-01-23,2009-01-23,2009-01-23,False,True,17500.0,25000,8530.29,634.0,1,True,True,2009,0,0,0.0,Direct Drop (order-driven)
ASN-29255,South Africa,PHARMACY DIRECT,Truck,Direct Drop,PMO - US,ARV,DDP,"MSD, Haarlem, NL",188.0,1.0,0.0,0.0,189.0,2014-04-30,2014-11-04,2014-11-05,2014-11-05,2014-11-05,False,False,3434.02,51,,,3,False,False,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29257,South Africa,PHARMACY DIRECT,Truck,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",188.0,1.0,0.0,0.0,189.0,2014-04-30,2014-11-04,2014-11-05,2014-11-05,2014-11-05,False,False,16013.25,738,,,14,False,False,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29261,Côte d'Ivoire,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,Direct Drop,PMO - US,ARV,EXW,Mylan (formerly Matrix) Nashik,58.0,123.0,0.0,0.0,181.0,2014-06-03,2014-07-31,2014-12-01,2014-12-01,2014-12-01,False,False,20000.0,1000,2782.77,140.0,1,True,True,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29320,Côte d'Ivoire,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,Direct Drop,PMO - US,ARV,EXW,Mylan (formerly Matrix) Nashik,31.0,276.0,0.0,4.0,311.0,2014-01-31,2014-03-03,2014-12-04,2014-12-04,2014-12-08,False,False,50000.0,2500,3978.49,343.0,1,True,True,2014,0,0,0.0,Direct Drop (order-driven)
ASN-2933,Ethiopia,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Air,Direct Drop,PMO - US,HRDT,EXW,"KHB Test Kit Facility, Shanghai China",,37.0,-2.0,0.0,,,2008-10-27,2008-12-03,2008-12-01,2008-12-01,False,True,80730.0,3510,23035.69,2535.0,1,True,True,2008,0,0,2.0,Direct Drop (order-driven)
ASN-29338,Uganda,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",30.0,92.0,0.0,3.0,125.0,2014-08-19,2014-09-18,2014-12-19,2014-12-19,2014-12-22,False,False,200000.0,2500,8399.6,1010.0,1,True,True,2014,0,0,0.0,Direct Drop (order-driven)
ASN-2934,Ethiopia,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Air,Direct Drop,PMO - US,HRDT,EXW,"KHB Test Kit Facility, Shanghai China",,37.0,-2.0,0.0,,,2008-10-27,2008-12-03,2008-12-01,2008-12-01,False,True,80730.0,3510,23035.69,2535.0,1,True,True,2008,0,0,2.0,Direct Drop (order-driven)
ASN-2935,Ethiopia,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Air,Direct Drop,PMO - US,HRDT,EXW,"KHB Test Kit Facility, Shanghai China",,37.0,0.0,0.0,,,2008-10-27,2008-12-03,2008-12-03,2008-12-03,False,True,80730.0,3510,22433.91,2535.0,1,True,True,2008,0,0,0.0,Direct Drop (order-driven)
ASN-2936,Ethiopia,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Air,Direct Drop,PMO - US,HRDT,EXW,"KHB Test Kit Facility, Shanghai China",,37.0,-2.0,0.0,,,2008-10-27,2008-12-03,2008-12-01,2008-12-01,False,True,79810.0,3470,22803.8,2509.0,1,True,True,2008,0,0,2.0,Direct Drop (order-driven)
ASN-29372,Vietnam,HETERO LABS LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,Hetero Unit III Hyderabad IN,33.0,128.0,0.0,0.0,161.0,2014-07-09,2014-08-11,2014-12-17,2014-12-17,2014-12-17,False,False,183820.0,20840,,,2,False,False,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29373,Vietnam,HETERO LABS LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,Hetero Unit III Hyderabad IN,33.0,128.0,0.0,0.0,161.0,2014-07-09,2014-08-11,2014-12-17,2014-12-17,2014-12-17,False,False,201600.0,19200,4312.92,2877.0,1,True,True,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29374,Vietnam,HETERO LABS LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,Hetero Unit III Hyderabad IN,33.0,128.0,0.0,0.0,161.0,2014-07-09,2014-08-11,2014-12-17,2014-12-17,2014-12-17,False,False,218988.0,20856,4427.52,2959.0,1,True,True,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29375,Vietnam,HETERO LABS LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,Hetero Unit III Hyderabad IN,33.0,128.0,0.0,0.0,161.0,2014-07-09,2014-08-11,2014-12-17,2014-12-17,2014-12-17,False,False,201600.0,19200,4084.56,2719.0,1,True,True,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29376,Vietnam,HETERO LABS LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,Hetero Unit III Hyderabad IN,33.0,128.0,0.0,0.0,161.0,2014-07-09,2014-08-11,2014-12-17,2014-12-17,2014-12-17,False,False,139192.0,15904,,,2,False,False,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29384,Vietnam,HETERO LABS LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,Hetero Unit III Hyderabad IN,33.0,135.0,0.0,0.0,168.0,2014-07-09,2014-08-11,2014-12-24,2014-12-24,2014-12-24,False,False,187620.0,21840,,,2,False,False,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29385,Vietnam,HETERO LABS LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,Hetero Unit III Hyderabad IN,33.0,135.0,-11.0,0.0,157.0,2014-07-09,2014-08-11,2014-12-24,2014-12-13,2014-12-13,False,False,198240.0,18880,3691.22,2452.0,1,True,True,2014,0,0,11.0,Direct Drop (order-driven)
ASN-29386,Vietnam,HETERO LABS LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,Hetero Unit III Hyderabad IN,33.0,135.0,-5.0,0.0,163.0,2014-07-09,2014-08-11,2014-12-24,2014-12-19,2014-12-19,False,False,90440.0,15280,,,2,False,False,2014,0,0,5.0,Direct Drop (order-driven)
ASN-294,Vietnam,Hoffmann-La Roche ltd Basel,Air,Direct Drop,PMO - US,ARV,FCA,Roche Madrid,,134.0,0.0,0.0,,,2006-11-13,2007-03-27,2007-03-27,2007-03-27,False,True,32688.0,200,13981.96,54.0,1,True,True,2007,0,0,0.0,Direct Drop (order-driven)
ASN-29409,South Sudan,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",13.0,175.0,0.0,22.0,210.0,2014-06-17,2014-06-30,2014-12-22,2014-12-22,2015-01-13,False,False,32870.0,625,,,3,False,False,2014,0,0,0.0,Direct Drop (order-driven)
ASN-2941,Botswana,AHN (PTY) LTD (AKA UCB (S.A.),Truck,Direct Drop,PMO - US,HRDT,DDP,"Pacific Biotech, Thailand",,22.0,0.0,0.0,,,2008-10-21,2008-11-12,2008-11-12,2008-11-12,False,True,3500.0,5,,,1,False,False,2008,0,0,0.0,Direct Drop (order-driven)
ASN-29421,Cameroon,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",23.0,47.0,0.0,3.0,73.0,2014-09-23,2014-10-16,2014-12-02,2014-12-02,2014-12-05,False,False,9600.0,120,846.69,55.0,1,True,True,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29450,South Africa,S. BUYS WHOLESALER,Truck,Direct Drop,PMO - US,ARV,DDP,"Janssen-Cilag, Latina, IT",32.0,463.0,0.0,0.0,495.0,2013-07-12,2013-08-13,2014-11-19,2014-11-19,2014-11-19,False,False,17568.09,227,,,4,False,False,2014,0,0,0.0,Direct Drop (order-driven)
ASN-2946,Mozambique,"Trinity Biotech, Plc",Air,Direct Drop,PMO - US,HRDT,EXW,"Trinity Biotech, Plc",,76.0,0.0,0.0,,,2008-10-14,2008-12-29,2008-12-29,2008-12-29,False,True,157312.0,4916,23300.18,1651.0,1,True,True,2008,0,0,0.0,Direct Drop (order-driven)
ASN-2947,Namibia,"Trinity Biotech, Plc",Air,Direct Drop,PMO - US,HRDT,EXW,"Trinity Biotech, Plc",,69.0,0.0,0.0,,,2008-10-14,2008-12-22,2008-12-22,2008-12-22,False,True,20800.0,650,7936.81,278.0,1,True,True,2008,0,0,0.0,Direct Drop (order-driven)
ASN-29481,"Congo, DRC","Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",16.0,265.0,0.0,7.0,288.0,2014-08-11,2014-08-27,2015-05-19,2015-05-19,2015-05-26,False,False,19720.8,540,,,1,False,False,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29497,Haiti,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE Ludwigshafen Germany,42.0,35.0,0.0,0.0,77.0,2014-09-24,2014-11-05,2014-12-10,2014-12-10,2014-12-10,False,False,1863.2,272,722.35,37.0,1,True,True,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29499,Haiti,JANSSEN SCIENCES IRELAND UC (FORMERLY JANSSEN R&D IRELAND),Air,Direct Drop,PMO - US,ARV,FCA,"Janssen-Cilag, Latina, IT",41.0,36.0,0.0,0.0,77.0,2014-09-24,2014-11-04,2014-12-10,2014-12-10,2014-12-10,False,False,5994.0,111,926.3,42.0,1,True,True,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29503,South Sudan,"Trinity Biotech, Plc",Air,Direct Drop,PMO - US,HRDT,EXW,"Trinity Biotech, Plc",14.0,192.0,0.0,10.0,216.0,2014-06-17,2014-07-01,2015-01-09,2015-01-09,2015-01-19,False,False,16896.0,528,,,4,False,False,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29533,"Congo, DRC",MICRO LABS LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,"Micro labs, Verna, Goa, India",8.0,196.0,0.0,12.0,216.0,2014-07-23,2014-07-31,2015-02-12,2015-02-12,2015-02-24,False,False,6835.28,3974,3743.84,209.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29540,Zimbabwe,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE Ludwigshafen Germany,37.0,242.0,0.0,0.0,279.0,2014-04-08,2014-05-15,2015-01-12,2015-01-12,2015-01-12,False,False,54962.82,9253,11368.84,1065.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29588,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE Ludwigshafen Germany,33.0,157.0,0.0,7.0,197.0,2014-07-09,2014-08-11,2015-01-15,2015-01-15,2015-01-22,False,False,267608.0,4400,1475.94,1073.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29589,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE Ludwigshafen Germany,33.0,157.0,0.0,40.0,230.0,2014-07-09,2014-08-11,2015-01-15,2015-01-15,2015-02-24,False,False,4652.0,200,1475.95,22.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29592,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE Ludwigshafen Germany,33.0,158.0,0.0,1.0,192.0,2014-07-09,2014-08-11,2015-01-16,2015-01-16,2015-01-17,False,False,340592.0,5600,4489.32,1368.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29593,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE Ludwigshafen Germany,33.0,158.0,0.0,39.0,230.0,2014-07-09,2014-08-11,2015-01-16,2015-01-16,2015-02-24,False,False,4652.0,200,,,1,False,False,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29596,South Africa,PHARMACY DIRECT,Truck,Direct Drop,PMO - US,ARV,DDP,"MSD, Haarlem, NL",78.0,0.0,0.0,0.0,78.0,2014-09-11,2014-11-28,2014-11-28,2014-11-28,2014-11-28,False,False,5293.610000000001,114,,,3,False,False,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29597,South Africa,PHARMACY DIRECT,Truck,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",78.0,0.0,0.0,0.0,78.0,2014-09-11,2014-11-28,2014-11-28,2014-11-28,2014-11-28,False,False,7891.62,553,,,12,False,False,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29615,Haiti,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,EXW,"Aurobindo Unit III, India",51.0,52.0,0.0,0.0,103.0,2014-09-24,2014-11-14,2015-01-05,2015-01-05,2015-01-05,False,False,2647.5,2118,1987.82,134.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29640,Haiti,STRIDES ARCOLAB LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,"Strides, Bangalore, India.",52.0,66.0,0.0,1.0,119.0,2014-09-24,2014-11-15,2015-01-20,2015-01-20,2015-01-21,False,False,22692.0,2440,1659.21,163.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29746,Zimbabwe,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,Direct Drop,PMO - US,ARV,EXW,Mylan (formerly Matrix) Nashik,3.0,78.0,0.0,0.0,81.0,2014-11-14,2014-11-17,2015-02-03,2015-02-03,2015-02-03,False,False,0.01,814,1344.94,60.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29747,Zimbabwe,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,Direct Drop,PMO - US,ARV,EXW,Mylan (formerly Matrix) Nashik,3.0,78.0,0.0,21.0,102.0,2014-11-14,2014-11-17,2015-02-03,2015-02-03,2015-02-24,False,False,2845.5,813,1344.94,60.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29761,South Africa,S. BUYS WHOLESALER,Truck,Direct Drop,PMO - US,ARV,DDP,ABBVIE (Abbott) Logis. UK,42.0,0.0,0.0,0.0,42.0,2014-10-29,2014-12-10,2014-12-10,2014-12-10,2014-12-10,False,False,62.04,3,,,1,False,False,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29764,South Africa,S. BUYS WHOLESALER,Truck,Direct Drop,PMO - US,ARV,DDP,"Cipla, Goa, India",42.0,0.0,0.0,0.0,42.0,2014-10-29,2014-12-10,2014-12-10,2014-12-10,2014-12-10,False,False,45176.32,3230,,,16,False,False,2014,0,0,0.0,Direct Drop (order-driven)
ASN-29768,Vietnam,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,Direct Drop,PMO - US,ARV,EXW,Mylan (formerly Matrix) Nashik,30.0,181.0,0.0,0.0,211.0,2014-07-09,2014-08-08,2015-02-05,2015-02-05,2015-02-05,False,False,170200.0,23000,,,2,False,False,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29769,Vietnam,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,Direct Drop,PMO - US,ARV,EXW,Mylan (formerly Matrix) Nashik,138.0,73.0,0.0,19.0,230.0,2014-07-09,2014-11-24,2015-02-05,2015-02-05,2015-02-24,False,False,9981.0,900,2504.65,100.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29770,Vietnam,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,Direct Drop,PMO - US,ARV,EXW,Mylan (formerly Matrix) Nashik,30.0,160.0,0.0,0.0,190.0,2014-07-09,2014-08-08,2015-01-15,2015-01-15,2015-01-15,False,False,56700.0,7000,1069.31,974.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29771,Vietnam,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,Direct Drop,PMO - US,ARV,EXW,Mylan (formerly Matrix) Nashik,138.0,52.0,0.0,40.0,230.0,2014-07-09,2014-11-24,2015-01-15,2015-01-15,2015-02-24,False,False,13308.0,1200,1069.31,128.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29854,Mozambique,"Trinity Biotech, Plc",Air,Direct Drop,PMO - US,HRDT,EXW,"Trinity Biotech, Plc",7.0,55.0,0.0,3.0,65.0,2014-11-12,2014-11-19,2015-01-13,2015-01-13,2015-01-16,False,False,864.0,27,,,1,False,False,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29855,Tanzania,"Trinity Biotech, Plc",Air,Direct Drop,PMO - US,HRDT,EXW,"Trinity Biotech, Plc",40.0,293.0,0.0,1.0,334.0,2014-03-27,2014-05-06,2015-02-23,2015-02-23,2015-02-24,False,False,5376.0,168,1112.11,55.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29870,Burundi,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",30.0,158.0,0.0,0.0,188.0,2014-07-29,2014-08-28,2015-02-02,2015-02-02,2015-02-02,False,False,128640.0,1608,15012.16,958.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29876,Burundi,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,Direct Drop,PMO - US,HRDT,EXW,Chembio Diagnostics Sys. Inc.,30.0,151.0,0.0,1.0,182.0,2014-07-29,2014-08-28,2015-01-26,2015-01-26,2015-01-27,False,False,11426.4,414,753.35,45.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29891,Rwanda,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,EXW,"Aurobindo Unit III, India",67.0,31.0,0.0,40.0,138.0,2014-10-09,2014-12-15,2015-01-15,2015-01-15,2015-02-24,False,False,12799.68,1592,1923.14,167.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29892,Rwanda,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,EXW,"Aurobindo Unit III, India",67.0,31.0,0.0,40.0,138.0,2014-10-09,2014-12-15,2015-01-15,2015-01-15,2015-02-24,False,False,4880.28,607,1026.4,66.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-299,Rwanda,Premier Medical Corporation Ltd.,Air,Direct Drop,PMO - US,HRDT,EXW,Premier Med. Corp Ltd. India,,,0.0,0.0,,,,2007-03-29,2007-03-29,2007-03-29,False,True,33000.0,2000,3120.7,710.0,1,True,True,2007,0,0,0.0,Direct Drop (order-driven)
ASN-29907,Haiti,CIPLA LIMITED,Air,Direct Drop,PMO - US,ARV,EXW,"Cipla, Goa, India",51.0,67.0,0.0,1.0,119.0,2014-09-24,2014-11-14,2015-01-20,2015-01-20,2015-01-21,False,False,28321.2,7867,5915.63,811.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-2992,Côte d'Ivoire,BIO-RAD LABORATORIES (FRANCE),Air,Direct Drop,PMO - US,HRDT,EXW,Bio-Rad Laboratories,,85.0,0.0,0.0,,,2008-09-18,2008-12-12,2008-12-12,2008-12-12,False,True,65512.0,862,25080.52,963.0,1,True,True,2008,0,0,0.0,Direct Drop (order-driven)
ASN-29928,Nigeria,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",37.0,82.0,0.0,3.0,122.0,2014-09-22,2014-10-29,2015-01-19,2015-01-19,2015-01-22,False,False,545837.0,6133,31306.65,2483.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29929,Nigeria,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",37.0,82.0,-3.0,6.0,122.0,2014-09-22,2014-10-29,2015-01-19,2015-01-16,2015-01-22,False,False,543790.0,6110,31305.04,2474.0,1,True,True,2015,0,0,3.0,Direct Drop (order-driven)
ASN-29930,Nigeria,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",37.0,82.0,-3.0,6.0,122.0,2014-09-22,2014-10-29,2015-01-19,2015-01-16,2015-01-22,False,False,271806.0,3054,15994.73,1241.0,1,True,True,2015,0,0,3.0,Direct Drop (order-driven)
ASN-29931,Nigeria,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",37.0,82.0,1.0,2.0,122.0,2014-09-22,2014-10-29,2015-01-19,2015-01-20,2015-01-22,False,False,279816.0,3144,15681.99,1276.0,1,True,True,2015,1,0,1.0,Direct Drop (order-driven)
ASN-29932,Nigeria,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",37.0,82.0,0.0,3.0,122.0,2014-09-22,2014-10-29,2015-01-19,2015-01-19,2015-01-22,False,False,282664.0,3176,16002.97,1288.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29933,Nigeria,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",37.0,82.0,0.0,3.0,122.0,2014-09-22,2014-10-29,2015-01-19,2015-01-19,2015-01-22,False,False,282664.0,3176,16002.97,1288.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29934,Nigeria,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",37.0,82.0,-3.0,6.0,122.0,2014-09-22,2014-10-29,2015-01-19,2015-01-16,2015-01-22,False,False,549130.0,6170,30648.28,2498.0,1,True,True,2015,0,0,3.0,Direct Drop (order-driven)
ASN-29935,Nigeria,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",37.0,82.0,-3.0,6.0,122.0,2014-09-22,2014-10-29,2015-01-19,2015-01-16,2015-01-22,False,False,548062.0,6158,31090.27,2493.0,1,True,True,2015,0,0,3.0,Direct Drop (order-driven)
ASN-29936,Nigeria,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",37.0,82.0,1.0,2.0,122.0,2014-09-22,2014-10-29,2015-01-19,2015-01-20,2015-01-22,False,False,283020.0,3180,15890.52,1290.0,1,True,True,2015,1,0,1.0,Direct Drop (order-driven)
ASN-29937,Nigeria,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",37.0,82.0,1.0,2.0,122.0,2014-09-22,2014-10-29,2015-01-19,2015-01-20,2015-01-22,False,False,534890.0,6010,30132.32,6010.0,1,True,True,2015,1,0,1.0,Direct Drop (order-driven)
ASN-29944,Zambia,"Trinity Biotech, Plc",Air,Direct Drop,PMO - US,HRDT,EXW,"Trinity Biotech, Plc",7.0,91.0,0.0,14.0,112.0,2014-10-15,2014-10-22,2015-01-21,2015-01-21,2015-02-04,False,False,96000.0,3000,6664.29,881.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29946,Côte d'Ivoire,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",34.0,355.0,0.0,1.0,390.0,2014-01-23,2014-02-26,2015-02-16,2015-02-16,2015-02-17,False,False,380000.0,4750,23013.2,1930.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-2997,Zimbabwe,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,Inverness Japan,,224.0,0.0,0.0,,,2008-06-12,2009-01-22,2009-01-22,2009-01-22,False,True,100512.0,2792,,,2,False,False,2009,0,0,0.0,Direct Drop (order-driven)
ASN-29971,Côte d'Ivoire,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,Direct Drop,PMO - US,HRDT,EXW,Chembio Diagnostics Sys. Inc.,35.0,330.0,0.0,0.0,365.0,2014-01-23,2014-02-27,2015-01-23,2015-01-23,2015-01-23,False,False,65720.0,2120,8291.96,610.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-29972,Côte d'Ivoire,"Standard Diagnostics, Inc.",Air,Direct Drop,PMO - US,HRDT,EXW,"Standard Diagnostics, Korea",34.0,331.0,0.0,0.0,365.0,2014-01-23,2014-02-26,2015-01-23,2015-01-23,2015-01-23,False,False,28700.0,1400,5924.89,437.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-3001,Uganda,BRISTOL-MYERS SQUIBB,Air,Direct Drop,PMO - US,ARV,CIP,"BMS Meymac, France",,53.0,0.0,0.0,,,2008-10-17,2008-12-09,2008-12-09,2008-12-09,False,True,917.0,50,378.0,2.0,1,True,True,2008,0,0,0.0,Direct Drop (order-driven)
ASN-30019,Côte d'Ivoire,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,"Alere Medical Co., Ltd.",56.0,224.0,0.0,2.0,282.0,2014-05-14,2014-07-09,2015-02-18,2015-02-18,2015-02-20,False,False,520000.0,6500,30778.29,2634.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-30066,Haiti,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,Direct Drop,PMO - US,ARV,EXW,Mylan (formerly Matrix) Nashik,51.0,117.0,0.0,5.0,173.0,2014-09-24,2014-11-14,2015-03-11,2015-03-11,2015-03-16,False,False,768000.0,75000,55886.43,9057.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-30067,Haiti,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Ocean,Direct Drop,PMO - US,ARV,EXW,Mylan (formerly Matrix) Nashik,51.0,119.0,0.0,5.0,175.0,2014-09-24,2014-11-14,2015-03-13,2015-03-13,2015-03-18,False,False,256000.0,25000,7658.27,3034.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
ASN-30068,Haiti,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,EXW,"Aurobindo Unit III, India",63.0,54.0,0.0,0.0,117.0,2014-10-22,2014-12-24,2015-02-16,2015-02-16,2015-02-16,False,False,7625.0,6100,4236.81,353.0,1,True,True,2015,0,0,0.0,Direct Drop (order-driven)
